			Precision	Recall	F1	IoU
Image 487:	0.1079	0.0101	0.0185	0.0093
Image 488:	0.0000	0.0000	0.0000	0.0000
Image 489:	0.0775	0.0051	0.0095	0.0048
Image 490:	0.0089	0.0005	0.0009	0.0004
Image 491:	0.0217	0.0005	0.0009	0.0005
Image 492:	0.0546	0.0008	0.0017	0.0008
Image 493:	0.0316	0.0008	0.0015	0.0008
Image 494:	0.0314	0.0003	0.0006	0.0003
Image 495:	0.1000	0.0014	0.0027	0.0014
Image 496:	0.0966	0.0008	0.0016	0.0008
Image 497:	0.2099	0.0036	0.0071	0.0036
Image 498:	0.2540	0.0036	0.0070	0.0035
Image 499:	0.6458	0.0101	0.0200	0.0101
Image 500:	0.1284	0.0020	0.0040	0.0020
Image 501:	0.0870	0.0002	0.0004	0.0002
Image 502:	0.2796	0.0006	0.0012	0.0006
Image 503:	0.2308	0.0002	0.0003	0.0002
Image 504:	0.2353	0.0003	0.0007	0.0003
Image 505:	0.0909	0.0001	0.0003	0.0001
Image 506:	0.2143	0.0004	0.0007	0.0004
Image 507:	0.2500	0.0002	0.0004	0.0002
Image 508:	0.0833	0.0001	0.0002	0.0001
Image 509:	0.7241	0.0020	0.0040	0.0020
Image 510:	0.6883	0.0013	0.0026	0.0013
Image 511:	0.5125	0.0081	0.0160	0.0081
Image 512:	0.4250	0.0172	0.0331	0.0168
Image 513:	0.0556	0.0002	0.0004	0.0002
Image 514:	0.0500	0.0001	0.0002	0.0001
Image 515:	0.0444	0.0001	0.0002	0.0001
Image 516:	0.2533	0.0017	0.0033	0.0016
Image 517:	0.2545	0.0020	0.0039	0.0019
Image 518:	0.0245	0.0005	0.0010	0.0005
Image 519:	0.0787	0.0008	0.0016	0.0008
Image 520:	0.1008	0.0017	0.0033	0.0016
Image 521:	0.0500	0.0011	0.0022	0.0011
Image 522:	0.0082	0.0002	0.0004	0.0002
Image 523:	0.0857	0.0011	0.0022	0.0011
Image 524:	0.0493	0.0016	0.0030	0.0015
Image 525:	0.0235	0.0006	0.0012	0.0006
Image 526:	0.1304	0.0036	0.0070	0.0035
Image 527:	0.0573	0.0008	0.0015	0.0007
Image 528:	0.0090	0.0002	0.0004	0.0002
Image 529:	0.0000	0.0000	0.0000	0.0000
Image 530:	0.0000	0.0000	0.0000	0.0000
Image 531:	0.0242	0.0003	0.0007	0.0003
Image 532:	0.0625	0.0014	0.0027	0.0014
Image 533:	0.1230	0.0050	0.0097	0.0049
Image 534:	0.0237	0.0046	0.0077	0.0039
Image 535:	0.2956	0.0207	0.0388	0.0198
